"","PARK","BOROUGH","SIZE.(ACRES)","CATEGORY","MURDER","RAPE","ROBBERY","FELONY.ASSAULT","BURGLARY","GRAND.LARCENY","GRAND.LARCENY.OF.MOTOR.VEHICLE","TOTAL","Quarter","Year"
"116","NORTH BROTHER ISLAND","BRONX        ",30.395,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"117","FORT GREENE PARK","BROOKLYN     ",30.168,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"118","BATTERY PARK CITY","MANHATTAN    ",29.99,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"119","MORNINGSIDE PARK","MANHATTAN    ",29.888,"ONE ACRE OR LARGER",0,0,3,0,1,0,0,4,"Q1",2015
"120","MACNEIL PARK","QUEENS       ",28.87,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"121","ALLEY ATHLETIC PLAYGROUND","QUEENS       ",27.531,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"122","VERNAM BARBADOES PENINSULA","QUEENS       ",27.484,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"123","COLLEGE POINT FIELDS","QUEENS       ",26.83,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"124","KAISER PARK","BROOKLYN     ",26.257,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"125","SUNSET PARK","BROOKLYN     ",24.498,"ONE ACRE OR LARGER",0,0,0,1,0,0,0,1,"Q1",2015
"126","OWL'S HEAD PARK","BROOKLYN     ",24.218,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"127","SPRINGFIELD PARK","QUEENS       ",23.543,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"128","RECREATIONAL AREA","MANHATTAN    ",23.093,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"129","KING FISHER PARK","STATEN ISLAND",23.01,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"130","SIEDENBURG PARK","STATEN ISLAND",22.882,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"131","ST. NICHOLAS PARK","MANHATTAN    ",22.74,"ONE ACRE OR LARGER",0,0,3,0,0,0,0,3,"Q1",2015
"132","SOUTH BROTHER ISLAND","BRONX        ",22.16,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"133","LOCUST POINT MARINA","BRONX        ",22.07,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"134","BATTERY PARK","MANHATTAN    ",21.88,"ONE ACRE OR LARGER",0,1,0,0,0,0,0,1,"Q1",2015
"135","BROOKLYN BRIDGE PARK","BROOKLYN     ",21.185,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"136","ASSER LEVY PARK","BROOKLYN     ",21.039,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"137","SEASIDE WILDLIFE NATURE PARK","STATEN ISLAND",20.907,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"138","WAVE HILL","BRONX        ",20.867,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"139","QUEENSBRIDGE PARK","QUEENS       ",20.34,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"140","MARCUS GARVEY PARK","MANHATTAN    ",20.165,"ONE ACRE OR LARGER",0,0,2,0,0,0,0,2,"Q1",2015
"141","ISHAM PARK","MANHATTAN    ",20.132,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"142","WILLIAMSBRIDGE OVAL","BRONX        ",19.749,"ONE ACRE OR LARGER",0,0,0,2,0,0,0,2,"Q1",2015
"143","BRANT POINT WILDLIFE SANCTUARY","QUEENS       ",19.556,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"144","BROAD CHANNEL AMERICAN PARK","QUEENS       ",18.768,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"145","THEODORE ROOSEVELT PARK","MANHATTAN    ",17.574,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"146","BENSONHURST PARK","BROOKLYN     ",17.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"147","LINCOLN TERRACE / ARTHUR S. SOMERS PARK","BROOKLYN     ",17.14,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"148","JOHN GOLDEN PARK","QUEENS       ",17,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"149","BAYVIEW TERRACE PARK","STATEN ISLAND",16.944,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"150","JONES WOODS PARK","STATEN ISLAND",16.93,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"151","FRANCIS LEWIS PARK","QUEENS       ",16.831,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"152","LEIF ERICSON PARK","BROOKLYN     ",16.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"153","EIBS POND PARK","STATEN ISLAND",16.505,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"154","RAILROAD PARK QUEENS","QUEENS       ",16.439,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"155","BREUKELEN BALLFIELDS","BROOKLYN     ",16.16,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"156","FRANZ SIGEL PARK","BRONX        ",15.99,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"157","THOMAS JEFFERSON PARK","MANHATTAN    ",15.524,"ONE ACRE OR LARGER",0,0,0,1,0,1,0,2,"Q1",2015
"158","ALICE AUSTEN PARK","STATEN ISLAND",15.524,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"159","MILL POND PARK","BRONX        ",15.496,"ONE ACRE OR LARGER",0,0,0,0,0,0,1,1,"Q1",2015
"160","SHERMAN CREEK","MANHATTAN    ",15.383,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"161","HARRIS PARK","BRONX        ",15.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"162","GOODHUE","STATEN ISLAND",15.064,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"163","MULLALY PARK","BRONX        ",15.049,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"164","TREMONT PARK","BRONX        ",15,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"165","CARL SCHURZ PARK","MANHATTAN    ",14.938,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"166","GRAND ARMY PLAZA BROOKLYN","BROOKLYN     ",14.257,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"167","VON BRIESEN PARK","STATEN ISLAND",13.938,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"168","MOTOR PARKWAY","QUEENS       ",13.894,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"169","UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET","QUEENS       ",13.826,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"170","BEACH 17 PLAYGROUND","QUEENS       ",13.75,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"171","TUDOR PARK","QUEENS       ",13.543,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"172","AQUEDUCT WALK","BRONX        ",13.533,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"173","FATHER MACRIS PARK","STATEN ISLAND",13.469,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"174","STARLIGHT PARK","BRONX        ",12.93,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"175","JACKIE ROBINSON PARK MANHATTAN","MANHATTAN    ",12.772,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"176","BROOKLYN MUSEUM","BROOKLYN     ",12.66,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"177","BEACH CHANNEL PARK","QUEENS       ",12.624,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"178","GREENBELT NATIVE PLANT CENTER","STATEN ISLAND",12.247,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"179","BOWNE PARK","QUEENS       ",11.788,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"180","SETON PARK","BRONX        ",11.689,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"181","RUFUS KING PARK","QUEENS       ",11.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"182","FRANK GOLDEN PARK","QUEENS       ",11.422,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"183","ST. JAMES PARK","BRONX        ",11.39,"ONE ACRE OR LARGER",0,0,2,0,0,0,0,2,"Q1",2015
"184","RICHMOND TERRACE WETLANDS","STATEN ISLAND",11.193,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"185","BARRETTO POINT PARK","BRONX        ",11.161,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"186","ST. ALBANS PARK","QUEENS       ",10.79,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"187","GEMINI FIELDS","QUEENS       ",10.761,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"188","GIVANS CREEK WOODS","BRONX        ",10.735,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"189","BETSY HEAD PARK","BROOKLYN     ",10.555,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"190","TOMPKINS SQUARE PARK","MANHATTAN    ",10.502,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"191","CPL. THOMPSON PARK","STATEN ISLAND",10.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"192","COMMODORE BARRY PARK","BROOKLYN     ",10.391,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"193","CADMAN PLAZA PARK","BROOKLYN     ",10.384,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"194","BROADWAY MALLS","MANHATTAN    ",10.242,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"195","STEEPLECHASE PARK","BROOKLYN     ",10.01,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"196","HUNTER'S POINT SOUTH PARK","QUEENS       ",10,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"197","UNNAMED PARK ON RICHMOND TERRACE","STATEN ISLAND",9.934,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"198","HYBRID OAK WOODS PARK","STATEN ISLAND",9.763,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"199","WASHINGTON SQUARE PARK","MANHATTAN    ",9.749,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"200","BRYANT PARK","MANHATTAN    ",9.603,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q1",2015
"201","ROCKAWAY FREEWAY","QUEENS       ",9.404,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"202","BICENTENNIAL VETERANS MEMORIAL PARK","BRONX        ",9.395,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"203","SUNSET COVE PARK","QUEENS       ",9.375,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"204","ST. JOHN'S RECREATION CENTER","BROOKLYN     ",9.339,"ONE ACRE OR LARGER",0,0,1,0,0,1,0,2,"Q1",2015
"205","LINDEN PARK","BROOKLYN     ",9.322,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"206","HAFFEN PARK","BRONX        ",9.238,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"207","ALLISON POND PARK","STATEN ISLAND",9.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"208","GRANITEVILLE SWAMP PARK","STATEN ISLAND",9.187,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"209","TOTTENVILLE SHORE PARK","STATEN ISLAND",9.181,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"210","CAPTAIN TILLY PARK","QUEENS       ",9.16,"ONE ACRE OR LARGER",0,0,2,0,0,0,0,2,"Q1",2015
"211","HARVEY PARK","QUEENS       ",9.154,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"212","MSGR. MCGOLRICK PARK","BROOKLYN     ",9.134,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"213","BUSHWICK INLET PARK","BROOKLYN     ",9.01,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"214","HENRY HUDSON PARK","BRONX        ",8.972,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"215","FRANK PRINCIPE PARK","QUEENS       ",8.899,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"216","CASTLE HILL PARK","BRONX        ",8.834,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"217","ROCHDALE PARK","QUEENS       ",8.833,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"218","ABE STARK SKATING RINK","BROOKLYN     ",8.807,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"219","CITY HALL PARK","MANHATTAN    ",8.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"220","EAST RIVER WATERFRONT ESPLANADE","MANHATTAN    ",8.761,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"221","CROTONA PARKWAY MALLS","BRONX        ",8.75,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"222","CONEY ISLAND CREEK PARK","BROOKLYN     ",8.663,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"223","MILL ROCK PARK","MANHATTAN    ",8.639,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"224","EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST","MANHATTAN    ",8.595,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"225","JOHN J CARTY PARK","BROOKLYN     ",8.565,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"226","COFFEY PARK","BROOKLYN     ",8.271,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"227","BARRETT PARK","STATEN ISLAND",8.108,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"228","RAINEY PARK QUEENS","QUEENS       ",8.09,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"229","LAGUARDIA LANDING LIGHTS","QUEENS       ",8.03,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
