"","PARK","BOROUGH","SIZE.(ACRES)","CATEGORY","MURDER","RAPE","ROBBERY","FELONY.ASSAULT","BURGLARY","GRAND.LARCENY","GRAND.LARCENY.OF.MOTOR.VEHICLE","TOTAL","Quarter","Year"
"1012","GREENPOINT PLAYGROUND","BROOKLYN     ",0.504,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1013","PIERREPONT PLAYGROUND","BROOKLYN     ",0.503,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1014","EPIPHANY PLAYGROUND","BROOKLYN     ",0.5,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1015","JOHN ADAMS PLAYGROUND","QUEENS       ",0.494,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1016","LEVY PLAYGROUND","STATEN ISLAND",0.49,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1017","CLEMENT CLARKE MOORE PARK","MANHATTAN    ",0.489,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1018","CHARLTON GARDEN","BRONX        ",0.488,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1019","THOMAS J. CUITE PARK","BROOKLYN     ",0.487,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1020","CHERRY CLINTON PLAYGROUND","MANHATTAN    ",0.483,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1021","HILTON WHITE PLAYGROUND","BRONX        ",0.477,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1022","MILESTONE PARK","BROOKLYN     ",0.476,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1023","TURTLE PLAYGROUND","QUEENS       ",0.476,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1024","MATTHEWS - PALMER PLAYGROUND","MANHATTAN    ",0.475,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1025","FAIRMOUNT PLAYGROUND","BRONX        ",0.47,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1026","MOTHER CABRINI PARK","BROOKLYN     ",0.467,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1027","VIRGINIA PLAYGROUND","BRONX        ",0.461,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1028","TEN EYCK PLAZA","BROOKLYN     ",0.46,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1029","TRIBOROUGH BRIDGE PLAYGROUND C","QUEENS       ",0.46,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1030","TRIBOROUGH BRIDGE PLAYGROUND D","QUEENS       ",0.46,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1031","TRIBOROUGH BRIDGE PLAYGROUND E","QUEENS       ",0.46,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1032","RAINBOW PLAYGROUND","BROOKLYN     ",0.46,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1033","UNDERBRIDGE DOG RUN","QUEENS       ",0.457,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1034","WILLIAM MCCRAY PLAYGROUND","MANHATTAN    ",0.456,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1035","LOUIS ARMSTRONG COMMUNITY CENTER","QUEENS       ",0.452,"RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1036","ABC PLAYGROUND","MANHATTAN    ",0.451,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1037","MIDDLE VILLAGE PLAYGROUND","QUEENS       ",0.448,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1038","YAK PLAYGROUND","BROOKLYN     ",0.444,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1039","BUTTERFLY GARDENS","BROOKLYN     ",0.442,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1040","HAVEMEYER PLAYGROUND","BRONX        ",0.442,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1041","PLAYGROUND ONE","MANHATTAN    ",0.44,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1042","GARIBALDI PLAYGROUND","BROOKLYN     ",0.437,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1043","MORRIS GARDEN","BRONX        ",0.436,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1044","MCCAFFREY PLAYGROUND","MANHATTAN    ",0.436,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1045","ADMIRAL TRIANGLE","BROOKLYN     ",0.433,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1046","HORSESHOE PLAYGROUND","BRONX        ",0.432,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1047","HUNTS POINT RIVERSIDE PARK","BRONX        ",0.426,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1048","TOMPKINSVILLE PARK","STATEN ISLAND",0.424,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1049","WEST 4TH STREET COURTS","MANHATTAN    ",0.42,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1050","MOSHOLU PLAYGROUND","BRONX        ",0.412,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1051","LIOTTI IKEFUGI PLAYGROUND","STATEN ISLAND",0.408,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1052","JOSEPH C. SAUER PARK","MANHATTAN    ",0.403,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1053","PLAYGROUND EIGHTY NINE LXXXIX","MANHATTAN    ",0.402,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1054","VAN NEST PARK","BRONX        ",0.401,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1055","JOSEPHINE CAMINITI PLAYGROUND","QUEENS       ",0.398,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1056","RODNEY PARK SOUTH","BROOKLYN     ",0.392,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1057","CHELSEA RECREATION CENTER","MANHATTAN    ",0.385,"RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1058","IMAGINATION PLAYGROUND","MANHATTAN    ",0.385,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1059","HINES PARK","BRONX        ",0.383,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1060","GOBLE PLAYGROUND","BRONX        ",0.381,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1061","GRAND PLAYGROUND","BRONX        ",0.381,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1062","RODNEY PARK NORTH","BROOKLYN     ",0.37,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1063","ST. MARY'S PARK PLAYGROUND BROOKLYN","BROOKLYN     ",0.367,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1064","MARCY PARK SOUTH","BROOKLYN     ",0.357,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1065","BLEECKER PLAYGROUND","MANHATTAN    ",0.356,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1066","MCLAUGHLIN PLAYGROUND","QUEENS       ",0.356,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1067","HARLEM ART PARK","MANHATTAN    ",0.347,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1068","VINCENT F. ALBANO JR. PLAYGROUND","MANHATTAN    ",0.346,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1069","JEROME PLAYGROUND SOUTH","BRONX        ",0.345,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1070","ST. MARY'S PARK BROOKLYN","BROOKLYN     ",0.345,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1071","WALTON PARK","BRONX        ",0.344,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1072","REV LENA IRONS UNITY PARK","BRONX        ",0.342,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1073","SUTTON PLACE PARK","MANHATTAN    ",0.342,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1074","KINGSBRIDGE HEIGHTS COMMUNITY CENTER","BRONX        ",0.329,"RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1075","MACARTHUR PARK","MANHATTAN    ",0.329,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1076","SLEDGE PLAYGROUND","BROOKLYN     ",0.328,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1077","FREEDOM SQUARE PLAYGROUND","QUEENS       ",0.327,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1078","BERRY PLAYGROUND","BROOKLYN     ",0.327,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1079","LONG ISLAND MEWS","QUEENS       ",0.323,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1080","BLACK ROCK PLAYGROUND","BRONX        ",0.322,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1081","HOT SPOT TOT LOT","BROOKLYN     ",0.322,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1082","RODNEY PLAYGROUND SOUTH","BROOKLYN     ",0.319,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1083","BRIDGE AND TUNNEL PARK","QUEENS       ",0.318,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1084","STOP & GO PLAYGROUND","BRONX        ",0.316,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1085","MACLAUGHLIN PLAYGROUND","BRONX        ",0.304,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1086","ANNADALE GREEN","STATEN ISLAND",0.3,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1087","HARRY CHAPIN PLAYGROUND","BROOKLYN     ",0.3,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1088","WEEKSVILLE PLAYGROUND","BROOKLYN     ",0.295,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1089","DODGER PLAYGROUND","BROOKLYN     ",0.293,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1090","HANSBOROUGH RECREATION CENTER","MANHATTAN    ",0.29,"POOL & RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1091","ELIZABETH STROUD PLAYGROUND","BROOKLYN     ",0.29,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1092","A.R.R.O.W. FIELD HOUSE","QUEENS       ",0.29,"BASKETBALL & REC CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1093","RODNEY PLAYGROUND NORTH","BROOKLYN     ",0.29,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1094","JENNIE JEROME PLAYGROUND","BRONX        ",0.287,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1095","PLAYGROUND 115","QUEENS       ",0.287,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1096","MARINERS HARBOR PLAYGROUND","STATEN ISLAND",0.271,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1097","YOUTH VILLAGE","BRONX        ",0.27,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1098","BEANSTALK PLAYGROUND","BRONX        ",0.267,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1099","DESALVIO PLAYGROUND","MANHATTAN    ",0.266,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1100","DAN ROSS PLAYGROUND","BROOKLYN     ",0.256,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1101","DREAM STREET PARK","MANHATTAN    ",0.252,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1102","SIDNEY HILLMAN PLAYGROUND","MANHATTAN    ",0.245,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1103","SUNSHINE PLAYGROUND","MANHATTAN    ",0.24,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1104","RODNEY PARK CENTER","BROOKLYN     ",0.237,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1105","SORRENTINO RECREATION CENTER","QUEENS       ",0.231,"RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1106","ST. GREGORY'S PLAYGROUND","MANHATTAN    ",0.231,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1107","UMMA PARK","BROOKLYN     ",0.23,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1108","WILLIAM F MOORE PARK","QUEENS       ",0.23,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1109","GENE GRAY PLAYGROUND","QUEENS       ",0.229,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1110","MARY O'CONNOR PLAYGROUND","MANHATTAN    ",0.229,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1111","OGDEN PLIMPTON PLAYGROUND","BRONX        ",0.229,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1112","DOWNING STREET PLAYGROUND","MANHATTAN    ",0.223,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1113","PLAYGROUND THIRTY FIVE XXXV","QUEENS       ",0.218,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1114","ROLF HENRY PLAYGROUND","BROOKLYN     ",0.213,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1115","TONY DAPOLITO RECREATION CENTER","MANHATTAN    ",0.208,"POOL & RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1116","P.S. 125 PLAYGROUND","BROOKLYN     ",0.208,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1117","DAVIDSON PLAYGROUND","BRONX        ",0.207,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1118","ASTORIA HEALTH PLAYGROUND","QUEENS       ",0.207,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1119","CHIARANTANO PLAYGROUND","BROOKLYN     ",0.206,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1120","MINETTA PLAYGROUND","MANHATTAN    ",0.206,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1121","CORONA MAC PARK","QUEENS       ",0.205,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1122","THORPE FAMILY PLAYGROUND","BRONX        ",0.201,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1123","SUNNERS PLAYGROUND","BROOKLYN     ",0.197,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1124","TUDOR GROVE PLAYGROUND","MANHATTAN    ",0.192,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1125","RODNEY PLAYGROUND CENTER","BROOKLYN     ",0.189,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1126","SEABURY PARK","BRONX        ",0.186,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1127","EAE J MITCHELL PARK","BRONX        ",0.183,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1128","PENN TRIANGLE","BROOKLYN     ",0.183,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1129","METROPOLITAN RECREATION CENTER","BROOKLYN     ",0.181,"POOL & RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1130","RAMON APONTE PARK","MANHATTAN    ",0.174,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1131","BILL BOJANGLES ROBINSON PLAYGROUND","MANHATTAN    ",0.172,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1132","FIELD OF DREAMS PARK","BRONX        ",0.172,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1133","RECREATION CENTER 54","MANHATTAN    ",0.17,"POOL & RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1134","PEARL ST PLAYGROUND","MANHATTAN    ",0.162,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1135","LEWIS PLAYGROUND","BROOKLYN     ",0.161,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1136","NORTH PACIFIC PLAYGROUND","BROOKLYN     ",0.155,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1137","MORRIS MESA","BRONX        ",0.15,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1138","PEACE PARK","BRONX        ",0.141,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1139","DUKE PARK","BROOKLYN     ",0.137,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1140","CAPTAIN JACOB JOSEPH PLAYGROUND","MANHATTAN    ",0.135,"PLAYGROUND LESS THAN ONE ACRE",0,0,1,0,0,0,0,1,"Q1",2015
"1141","SOBEL PLAYGROUND","BROOKLYN     ",0.135,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1142","GRAND CANAL COURT","MANHATTAN    ",0.134,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1143","LT. FEDERICO NARVAEZ TOT LOT","BROOKLYN     ",0.125,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1144","WEST 186TH STREET BASKETBALL COURT","MANHATTAN    ",0.123,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1145","SOPHIE IRENE LOEB","MANHATTAN    ",0.122,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1146","BARRETTO PARK","BRONX        ",0.12,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1147","ABYSSINIAN TOT LOT","MANHATTAN    ",0.118,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1148","ALEXANDER'S ALLEY","BRONX        ",0.11,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1149","EAST FLATBUSH CHILDREN'S PARK","BROOKLYN     ",0.106,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1150","CORONA HEALTH SANCTUARY","QUEENS       ",0.101,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1151","MOHEGAN TRIANGLE","BRONX        ",0.096,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1152","PLAYGROUND OF THE AMERICAS","MANHATTAN    ",0.079,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1153","PRIVATE WILLIAM GRAY PARK","QUEENS       ",0.069,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1154","ADRIENNE'S PLAYGROUND","MANHATTAN    ",0,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q1",2015
"1156","""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND","QUEENS       ",1.15,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1157","100% PLAYGROUND","BROOKLYN     ",1.616,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1158","A.R.R.O.W. FIELD HOUSE","QUEENS       ",0.29,"BASKETBALL & REC CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1159","ABC PLAYGROUND","MANHATTAN    ",0.451,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1160","ABE STARK SKATING RINK","BROOKLYN     ",8.807,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1161","ABIGAIL PLAYGROUND","BRONX        ",0.529,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1162","ABRAHAM LINCOLN PLAYGROUND","MANHATTAN    ",0.991,"BASKETBALL & POOL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1163","ABYSSINIAN TOT LOT","MANHATTAN    ",0.118,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1164","ADAM CLAYTON POWELL JR. MALLS","MANHATTAN    ",1.679,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1165","ADAM YAUCH PARK","BROOKLYN     ",1.363,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1166","ADMIRAL FARRAGUT PLAYGROUND","BRONX        ",1.359,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1167","ADMIRAL PARK","QUEENS       ",0.759,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1168","ADMIRAL TRIANGLE","BROOKLYN     ",0.433,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1169","ADRIENNE'S PLAYGROUND","MANHATTAN    ",0,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1170","AESOP PARK","STATEN ISLAND",0.912,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1171","AGNES HAYWOOD PLAYGROUND","BRONX        ",1.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1172","ALBEMARLE PLAYGROUND","BROOKLYN     ",0.918,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1173","ALBERT J. PARHAM PLAYGROUND","BROOKLYN     ",1.253,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1174","ALEXANDER HAMILTON PLAYGROUND","MANHATTAN    ",0.811,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1175","ALEXANDER'S ALLEY","BRONX        ",0.11,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1176","ALFRED E. SMITH PLAYGROUND","MANHATTAN    ",1.75,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1177","ALICE AUSTEN PARK","STATEN ISLAND",15.524,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1178","ALICE KORNEGAY TRIANGLE","MANHATTAN    ",0.883,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q2",2015
"1179","ALLEN MALL ONE","MANHATTAN    ",1.698,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
"1180","ALLERTON PLAYGROUND","BRONX        ",1.597,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2015
